variables	min_value	max_value	sources
cd_br	0	100	"Value for hyperaccumulator, which is really rare. van der Ent A, Joseph Pollard A, Echevarria G, et al (2021) Exceptional uptake and accumulation of chemical elements in plants: extending the hyperaccumulation paradigm. In: van der Ent A, Baker AJM, Echevarria G, et al. (eds) Agromining: Farming for metals: Extracting unconventional resources using lants. Springer International Publishing, Cham, pp 99?131
"
cu_br	0	300	"Value for hyperaccumulator, which is really rare. van der Ent A, Joseph Pollard A, Echevarria G, et al (2021) Exceptional uptake and accumulation of chemical elements in plants: extending the hyperaccumulation paradigm. In: van der Ent A, Baker AJM, Echevarria G, et al. (eds) Agromining: Farming for metals: Extracting unconventional resources using lants. Springer International Publishing, Cham, pp 99?131
"
pb_br	0	1000	"Value for hyperaccumulator, which is really rare. van der Ent A, Joseph Pollard A, Echevarria G, et al (2021) Exceptional uptake and accumulation of chemical elements in plants: extending the hyperaccumulation paradigm. In: van der Ent A, Baker AJM, Echevarria G, et al. (eds) Agromining: Farming for metals: Extracting unconventional resources using lants. Springer International Publishing, Cham, pp 99?131
"
zn_br	0	3000	"Value for hyperaccumulator, which is really rare. van der Ent A, Joseph Pollard A, Echevarria G, et al (2021) Exceptional uptake and accumulation of chemical elements in plants: extending the hyperaccumulation paradigm. In: van der Ent A, Baker AJM, Echevarria G, et al. (eds) Agromining: Farming for metals: Extracting unconventional resources using lants. Springer International Publishing, Cham, pp 99?131
"
se_br	0	100	"Value for hyperaccumulator, which is really rare. van der Ent A, Joseph Pollard A, Echevarria G, et al (2021) Exceptional uptake and accumulation of chemical elements in plants: extending the hyperaccumulation paradigm. In: van der Ent A, Baker AJM, Echevarria G, et al. (eds) Agromining: Farming for metals: Extracting unconventional resources using lants. Springer International Publishing, Cham, pp 99?131
"
ni_br	0	1000	"Value for hyperaccumulator, which is really rare. van der Ent A, Joseph Pollard A, Echevarria G, et al (2021) Exceptional uptake and accumulation of chemical elements in plants: extending the hyperaccumulation paradigm. In: van der Ent A, Baker AJM, Echevarria G, et al. (eds) Agromining: Farming for metals: Extracting unconventional resources using lants. Springer International Publishing, Cham, pp 99?131
"
co_br	0	300	"Value for hyperaccumulator, which is really rare. van der Ent A, Joseph Pollard A, Echevarria G, et al (2021) Exceptional uptake and accumulation of chemical elements in plants: extending the hyperaccumulation paradigm. In: van der Ent A, Baker AJM, Echevarria G, et al. (eds) Agromining: Farming for metals: Extracting unconventional resources using lants. Springer International Publishing, Cham, pp 99?131
"
mn_br	0	10000	"Value for hyperaccumulator, which is really rare. van der Ent A, Joseph Pollard A, Echevarria G, et al (2021) Exceptional uptake and accumulation of chemical elements in plants: extending the hyperaccumulation paradigm. In: van der Ent A, Baker AJM, Echevarria G, et al. (eds) Agromining: Farming for metals: Extracting unconventional resources using lants. Springer International Publishing, Cham, pp 99?131
"
cr_br	0	300	"Value for hyperaccumulator, which is really rare. van der Ent A, Joseph Pollard A, Echevarria G, et al (2021) Exceptional uptake and accumulation of chemical elements in plants: extending the hyperaccumulation paradigm. In: van der Ent A, Baker AJM, Echevarria G, et al. (eds) Agromining: Farming for metals: Extracting unconventional resources using lants. Springer International Publishing, Cham, pp 99?131
"
hg_br	0	1	"Value for hyperaccumulator, which is really rare. van der Ent A, Joseph Pollard A, Echevarria G, et al (2021) Exceptional uptake and accumulation of chemical elements in plants: extending the hyperaccumulation paradigm. In: van der Ent A, Baker AJM, Echevarria G, et al. (eds) Agromining: Farming for metals: Extracting unconventional resources using lants. Springer International Publishing, Cham, pp 99?131
"
n_te_br	0	20	arbitrary, but more then 20 replicates seems a lot
